# threads 8 processes 8 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.383063	0.0129392
0.347533	0.00806953
0.34733	0.00817725
0.347468	0.00809897
0.348134	0.008049
0.349401	0.00816828
0.346882	0.00800155
0.348475	0.00813842
0.348253	0.00823335
0.3495	0.00828621
0.346999	0.00815657
0.34877	0.00802672
0.345871	0.0081077
0.348419	0.00809257
0.34807	0.00818973
0.347254	0.0082087
0.348293	0.00803334
0.34815	0.00800952
0.347551	0.0080119
0.348264	0.00828748
0.348912	0.00803621
0.348639	0.00810992
0.34653	0.00821479
0.347101	0.0080153
0.348813	0.00801377
0.348971	0.00806442
0.347788	0.00809158
0.349475	0.00799842
0.347772	0.00816725
0.348211	0.00800594
