# threads 1 processes 4 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.83963	1.21559
2.38623	0.834794
2.09496	0.547329
2.1071	0.560534
2.10142	0.555456
2.08623	0.538932
2.09587	0.54783
2.10499	0.557861
2.10556	0.558997
2.08761	0.541341
2.10418	0.558166
2.0861	0.541691
2.08614	0.539378
2.09802	0.551254
2.09435	0.536609
2.09496	0.518924
2.11849	0.562094
2.10903	0.564058
2.10246	0.541658
2.08567	0.532985
2.08895	0.538052
2.10472	0.547346
2.10181	0.555839
2.08879	0.541801
2.08519	0.500204
2.09881	0.522479
2.09014	0.517903
2.08661	0.520404
2.10202	0.534199
2.10261	0.531178
2.09491	0.52864
2.07682	0.499216
2.09661	0.52673
2.08481	0.510336
2.09991	0.531915
2.09169	0.522364
2.09252	0.521859
2.10611	0.529632
2.08442	0.514433
2.10938	0.53428
2.08758	0.506327
2.0972	0.520377
2.08956	0.519944
2.12271	0.553648
2.09254	0.517654
2.11858	0.55133
2.10136	0.525086
2.11683	0.547504
2.09897	0.5325
2.10124	0.535149
