# threads 2 processes 1 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
3.96105	7.43e-07
3.94866	8.36e-07
3.95061	8.37e-07
3.95249	7.81e-07
3.94955	7.6e-07
3.9438	8.1e-07
3.9942	8.09e-07
3.97762	9.96e-07
3.9564	7.83e-07
3.96293	8.68e-07
3.95557	8.29e-07
3.94612	8.2e-07
3.94919	1.03e-06
3.9527	1.081e-06
3.94691	7.37e-07
3.94739	7.58e-07
4.00573	8.25e-07
3.97499	8.16e-07
3.96915	7.62e-07
3.95981	8.69e-07
3.94576	8.09e-07
3.95179	1.026e-06
3.96368	8.7e-07
3.94609	7.73e-07
3.94563	8.36e-07
4.0015	7.83e-07
3.98492	8.93e-07
3.96935	7.75e-07
3.96504	7.15e-07
3.96068	7.88e-07
