# threads 2 processes 28 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.514164	0.39439
0.189624	0.070612
0.179128	0.060349
0.178847	0.0608915
0.179211	0.0610503
0.179059	0.0609648
0.179204	0.061112
0.179099	0.0608892
0.179129	0.0611955
0.178925	0.0608016
0.179227	0.0610861
0.179073	0.0610505
0.179105	0.0610518
0.179144	0.0610355
0.179222	0.0608778
0.18082	0.0623183
0.181204	0.0632069
0.180747	0.0627169
0.180927	0.0629223
0.180542	0.0624848
0.180992	0.0628923
0.179571	0.0615534
0.179107	0.0603618
0.180779	0.0626902
0.18102	0.0630183
0.181065	0.0630407
0.1808	0.0627749
0.179298	0.0613198
0.179052	0.0610039
0.1792	0.0609005
