# threads 2 processes 9 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.4359	0.498589
1.43524	0.501271
1.43892	0.501167
1.43973	0.502964
1.44555	0.502573
1.45643	0.501242
1.44985	0.503201
1.43618	0.503006
1.46027	0.525472
1.44765	0.502111
1.44748	0.499642
1.45004	0.501895
1.4346	0.501161
1.43809	0.50174
1.43436	0.500979
1.44824	0.501434
1.44033	0.502441
1.44594	0.500543
1.4369	0.501283
1.45141	0.499276
1.4476	0.501792
1.43689	0.502003
1.43384	0.501666
1.45092	0.501626
1.43941	0.502064
1.45098	0.502024
1.43566	0.503245
1.4534	0.501802
1.44664	0.502479
1.45074	0.502552
