# threads 2 processes 6 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.691127	0.176915
0.630021	0.121027
0.625907	0.116283
0.62567	0.116773
0.626072	0.117903
0.625742	0.117604
0.625397	0.117443
0.626461	0.11762
0.625353	0.117383
0.625781	0.117467
0.626152	0.117703
0.625797	0.117739
0.627009	0.117811
0.625351	0.117665
0.625644	0.11717
0.625657	0.116951
0.628837	0.116457
0.625745	0.117411
0.626251	0.11701
0.626272	0.118153
0.625563	0.117793
0.625284	0.117246
0.625484	0.117709
0.626376	0.117459
0.626121	0.117668
0.625992	0.11778
0.625235	0.116971
0.625697	0.117551
0.626813	0.118043
0.625847	0.11796
