# threads 1 processes 2 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.19979	0.181906
1.16514	0.146209
1.16305	0.145347
1.16292	0.145652
1.16339	0.146665
1.16274	0.145935
1.16314	0.14633
1.16271	0.145674
1.16253	0.145471
1.16314	0.146389
1.16337	0.146084
1.16311	0.146077
1.16222	0.145079
1.16305	0.146212
1.16249	0.145366
1.16257	0.145899
1.16291	0.146421
1.16252	0.145297
1.16216	0.145139
1.16374	0.146489
1.1631	0.146024
1.16307	0.145037
1.16273	0.14552
1.16315	0.146644
1.16293	0.145754
1.16295	0.146503
1.16477	0.148289
1.16346	0.146885
1.16283	0.145719
1.16409	0.146381
1.16325	0.146192
1.16354	0.146953
1.16275	0.145152
1.16273	0.145613
1.16271	0.145944
1.16544	0.148365
1.16731	0.150399
1.16261	0.14564
1.16243	0.145563
1.16315	0.146354
1.16254	0.144472
1.163	0.145683
1.16237	0.144735
1.16328	0.146735
1.16334	0.146901
1.16252	0.145683
1.1633	0.146607
1.16279	0.145485
1.16326	0.145104
1.16319	0.146345
