# threads 8 processes 7 vertices 20000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
2.69935	0.792747
2.43064	0.645276
2.43669	0.651617
2.43091	0.647009
2.43126	0.647119
2.43016	0.646938
2.43242	0.64794
2.43021	0.645908
2.43096	0.645758
2.42963	0.643389
2.4284	0.644101
2.43113	0.647481
2.42731	0.641722
2.42948	0.646197
2.43176	0.646754
2.44019	0.655899
2.44252	0.654279
2.4334	0.64888
2.42709	0.642559
2.42787	0.6438
2.43436	0.649425
2.43237	0.64853
2.43099	0.646289
2.43433	0.650176
2.4308	0.646774
2.42821	0.6413
2.4323	0.647569
2.43148	0.64656
2.43141	0.645849
2.4274	0.644003
