# threads 1 processes 20 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.343935	0.250065
0.23589	0.1434
0.22866	0.13468
0.229573	0.137018
0.22799	0.135807
0.22925	0.136676
0.229254	0.136888
0.229343	0.136989
0.228222	0.135575
0.229557	0.136907
0.228666	0.136271
0.228785	0.135859
0.228465	0.136202
0.229643	0.13709
0.228862	0.136108
0.228955	0.13662
0.229096	0.136494
0.229827	0.137054
0.229535	0.137068
0.228335	0.135806
0.22849	0.135922
0.229223	0.136855
0.229468	0.136899
0.22931	0.136856
0.230037	0.137273
0.235703	0.14042
0.230193	0.136887
0.229549	0.136829
0.228688	0.136266
0.229587	0.137188
0.228087	0.135569
0.228542	0.135997
0.228899	0.13643
0.228637	0.135975
0.228037	0.13559
0.229223	0.136636
0.228417	0.135807
0.228931	0.136201
0.229139	0.136918
0.228625	0.136026
0.228804	0.136451
0.229793	0.137296
0.229571	0.136851
0.228684	0.136247
0.228385	0.13599
0.229867	0.137127
0.229491	0.136792
0.228758	0.136339
0.229118	0.13644
0.230001	0.136936
