# threads 2 processes 30 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.26186	0.791951
1.26511	0.795363
1.26776	0.79914
1.26883	0.800994
1.26643	0.798421
1.26541	0.795569
1.26797	0.796029
1.27177	0.800278
1.26774	0.800574
1.26906	0.800002
1.27044	0.800888
1.27026	0.802347
1.26525	0.794458
1.26495	0.79491
1.27058	0.801684
1.26496	0.799138
1.27218	0.800997
1.26931	0.804122
1.26767	0.800172
1.27226	0.800922
1.26337	0.794678
1.26798	0.799511
1.26781	0.798344
1.26643	0.797192
1.26693	0.801067
1.26781	0.802278
1.26246	0.790433
1.27411	0.803039
1.27322	0.803458
1.27077	0.801279
