# threads 8 processes 2 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.81603	0.0889837
1.71964	0.0631933
1.72064	0.062869
1.71474	0.0632796
1.71462	0.062651
1.71621	0.0628126
1.71444	0.0626695
1.71477	0.0628864
1.71475	0.062848
1.71591	0.0629892
1.71421	0.0629406
1.71443	0.062831
1.71997	0.0629201
1.71631	0.0628784
1.71464	0.0631736
1.716	0.0635626
1.71481	0.063274
1.71509	0.0627561
1.71509	0.0629713
1.71426	0.0625888
1.71469	0.0629419
1.71495	0.0633409
1.71458	0.0628978
1.71454	0.0628287
1.71496	0.062807
1.71535	0.0631447
1.71627	0.0630709
1.7148	0.0630482
1.71472	0.0627474
1.71501	0.0629671
