# threads 4 processes 12 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.00073	0.538838
0.955343	0.493209
0.954507	0.491637
0.952998	0.493282
0.958405	0.494576
0.950556	0.490626
0.953963	0.492643
0.940486	0.480232
0.944776	0.48547
0.95724	0.491257
0.948562	0.487084
0.954525	0.494769
0.943359	0.481703
0.94403	0.482983
0.942644	0.484821
0.935042	0.473754
0.948788	0.489262
0.939825	0.476849
0.950458	0.486321
0.946027	0.4834
0.956091	0.495268
0.944669	0.483399
0.947695	0.488152
0.943955	0.482931
0.938762	0.474533
0.943205	0.481468
0.952937	0.494307
0.95	0.489355
0.942531	0.479285
0.957049	0.492532
