# threads 1 processes 8 vertices 500000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
0.494875	0.272735
0.492587	0.270335
0.489391	0.267269
0.489369	0.268184
0.489304	0.267633
0.504108	0.282996
0.510955	0.289565
0.487677	0.264992
0.485181	0.264116
0.493527	0.271146
0.504195	0.282601
0.501791	0.280586
0.513058	0.291666
0.489989	0.267601
0.490768	0.269803
0.488727	0.26752
0.491788	0.270701
0.489078	0.268137
0.48953	0.268359
0.488135	0.265862
0.491738	0.270594
0.488408	0.267063
0.490189	0.268869
0.488672	0.267415
0.491224	0.269216
0.491153	0.269199
0.485753	0.264439
0.487008	0.26573
0.49119	0.270048
0.50008	0.278895
0.512852	0.291596
0.500739	0.278948
0.488464	0.267345
0.488236	0.266968
0.48929	0.268124
0.489377	0.268082
0.48898	0.267787
0.50533	0.283945
0.493397	0.272385
0.491531	0.270944
0.492028	0.27095
0.487855	0.266925
0.489353	0.268351
0.48848	0.267368
0.488532	0.267735
0.490005	0.269156
0.496072	0.275071
0.490041	0.269046
0.509466	0.288613
0.505338	0.284258
