# threads 2 processes 20 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.26692	0.709286
1.28664	0.728706
1.26165	0.702904
1.27596	0.717203
1.26643	0.706723
1.27172	0.712935
1.26882	0.713009
1.28689	0.729529
1.26961	0.713765
1.27104	0.711416
1.28883	0.73173
1.26427	0.707403
1.26676	0.710505
1.27017	0.711848
1.26098	0.701991
1.25604	0.703819
1.26064	0.706254
1.26847	0.710893
1.25209	0.697928
1.26135	0.704266
1.26632	0.707417
1.25841	0.702666
1.27216	0.716201
1.26282	0.707754
1.26209	0.702669
1.2621	0.70555
1.26761	0.712022
1.261	0.706332
1.26821	0.708497
1.26183	0.704639
