# threads 8 processes 5 vertices 10000000 edges 500000000
# algorithm_time (edges + reduction)	 reduction_time
1.56156	0.314864
1.42941	0.263173
1.42914	0.26391
1.43395	0.2692
1.42489	0.260274
1.43033	0.265376
1.42298	0.25737
1.42822	0.262377
1.43536	0.269843
1.43426	0.269832
1.43395	0.269515
1.43635	0.270628
1.43273	0.26742
1.44872	0.28271
1.43771	0.27281
1.43188	0.266403
1.43436	0.269522
1.43435	0.270314
1.45195	0.287035
1.44834	0.283018
1.42695	0.260933
1.44415	0.279284
1.43629	0.271581
1.43084	0.266308
1.438	0.273394
1.42179	0.25547
1.43502	0.270434
1.435	0.269707
1.43462	0.269074
1.43486	0.270188
